num_similar_relevant,num_similar_irrelevant,similarity_threshold_relevant,similarity_threshold_irrelevant, num_words_relevant, num_words_irrelevant, true_positive,true_negative,false_positive,false_negative,accuracy,precision,recall,f1_score

3,1,0.6,0.8,40,40,17,85,11,31,0.7083333333333334,0.6071428571428571,0.3541666666666667,0.4473684210526316
3,1,0.6,0.8,40,45,8,90,6,40,0.6805555555555556,0.5714285714285714,0.16666666666666666,0.25806451612903225
3,1,0.6,0.8,40,50,4,91,5,44,0.6597222222222222,0.4444444444444444,0.08333333333333333,0.14035087719298245
3,1,0.6,0.8,40,55,0,95,1,48,0.6597222222222222,0.0,0.0,0
3,1,0.6,0.8,40,60,0,95,1,48,0.6597222222222222,0.0,0.0,0
3,1,0.6,0.8,40,65,0,95,1,48,0.6597222222222222,0.0,0.0,0
3,1,0.6,0.8,40,70,0,96,0,48,0.6666666666666666,0,0.0,0
3,1,0.6,0.8,40,75,0,96,0,48,0.6666666666666666,0,0.0,0
3,1,0.6,0.8,40,80,0,96,0,48,0.6666666666666666,0,0.0,0
3,1,0.6,0.8,40,85,0,96,0,48,0.6666666666666666,0,0.0,0
3,1,0.6,0.8,40,90,0,96,0,48,0.6666666666666666,0,0.0,0
3,1,0.6,0.8,40,95,0,96,0,48,0.6666666666666666,0,0.0,0
3,1,0.6,0.8,40,100,0,96,0,48,0.6666666666666666,0,0.0,0
3,1,0.6,0.8,40,105,0,96,0,48,0.6666666666666666,0,0.0,0
3,1,0.6,0.8,40,110,0,96,0,48,0.6666666666666666,0,0.0,0
3,1,0.6,0.8,40,115,0,96,0,48,0.6666666666666666,0,0.0,0
3,1,0.6,0.8,45,40,26,79,17,22,0.7291666666666666,0.6046511627906976,0.5416666666666666,0.5714285714285714
3,1,0.6,0.8,45,45,18,87,9,30,0.7291666666666666,0.6666666666666666,0.375,0.4800000000000001
3,1,0.6,0.8,45,50,8,90,6,40,0.6805555555555556,0.5714285714285714,0.16666666666666666,0.25806451612903225
3,1,0.6,0.8,45,55,1,94,2,47,0.6597222222222222,0.3333333333333333,0.020833333333333332,0.0392156862745098
3,1,0.6,0.8,45,60,1,94,2,47,0.6597222222222222,0.3333333333333333,0.020833333333333332,0.0392156862745098
3,1,0.6,0.8,45,65,0,95,1,48,0.6597222222222222,0.0,0.0,0
3,1,0.6,0.8,45,70,0,96,0,48,0.6666666666666666,0,0.0,0
3,1,0.6,0.8,45,75,0,96,0,48,0.6666666666666666,0,0.0,0
3,1,0.6,0.8,45,80,0,96,0,48,0.6666666666666666,0,0.0,0
3,1,0.6,0.8,45,85,0,96,0,48,0.6666666666666666,0,0.0,0
3,1,0.6,0.8,45,90,0,96,0,48,0.6666666666666666,0,0.0,0
3,1,0.6,0.8,45,95,0,96,0,48,0.6666666666666666,0,0.0,0
3,1,0.6,0.8,45,100,0,96,0,48,0.6666666666666666,0,0.0,0
3,1,0.6,0.8,45,105,0,96,0,48,0.6666666666666666,0,0.0,0
3,1,0.6,0.8,45,110,0,96,0,48,0.6666666666666666,0,0.0,0
3,1,0.6,0.8,45,115,0,96,0,48,0.6666666666666666,0,0.0,0
3,1,0.6,0.8,50,40,37,63,33,11,0.6944444444444444,0.5285714285714286,0.7708333333333334,0.6271186440677967
3,1,0.6,0.8,50,45,26,78,18,22,0.7222222222222222,0.5909090909090909,0.5416666666666666,0.5652173913043478
3,1,0.6,0.8,50,50,15,90,6,33,0.7291666666666666,0.7142857142857143,0.3125,0.43478260869565216
3,1,0.6,0.8,50,55,8,91,5,40,0.6875,0.6153846153846154,0.16666666666666666,0.26229508196721313
3,1,0.6,0.8,50,60,2,93,3,46,0.6597222222222222,0.4,0.041666666666666664,0.07547169811320754
3,1,0.6,0.8,50,65,1,94,2,47,0.6597222222222222,0.3333333333333333,0.020833333333333332,0.0392156862745098
3,1,0.6,0.8,50,70,0,95,1,48,0.6597222222222222,0.0,0.0,0
3,1,0.6,0.8,50,75,0,96,0,48,0.6666666666666666,0,0.0,0
3,1,0.6,0.8,50,80,0,96,0,48,0.6666666666666666,0,0.0,0
3,1,0.6,0.8,50,85,0,96,0,48,0.6666666666666666,0,0.0,0
3,1,0.6,0.8,50,90,0,96,0,48,0.6666666666666666,0,0.0,0
3,1,0.6,0.8,50,95,0,96,0,48,0.6666666666666666,0,0.0,0
3,1,0.6,0.8,50,100,0,96,0,48,0.6666666666666666,0,0.0,0
3,1,0.6,0.8,50,105,0,96,0,48,0.6666666666666666,0,0.0,0
3,1,0.6,0.8,50,110,0,96,0,48,0.6666666666666666,0,0.0,0
